"","age","gender","imp","comp","severity","group"
"1",37,"férfi",36,0,2,"CB non-problematic"
"2",29,"nő",43,2,6,"CB non-problematic"
"3",61,"nő",47,11,0,"CB non-problematic"
"4",26,"nő",49,0,3,"CB non-problematic"
"5",49,"nő",33,1,3,"CB non-problematic"
"6",22,"nő",50,13,16,"CB problematic"
"7",50,"férfi",NA,NA,7,"CB non-problematic"
"8",21,"férfi",23,1,1,"CB non-problematic"
"9",22,"férfi",29,2,1,"CB non-problematic"
"10",27,"férfi",42,7,7,"CB non-problematic"
"11",40,"férfi",39,9,5,"CB non-problematic"
"12",50,"férfi",38,5,5,"CB non-problematic"
"13",21,"férfi",43,0,4,"CB non-problematic"
"14",63,"férfi",32,0,2,"CB non-problematic"
"15",36,"férfi",36,2,6,"CB non-problematic"
"16",48,"férfi",47,9,1,"CB non-problematic"
"17",49,"férfi",36,0,0,"CB non-problematic"
"18",23,"férfi",39,5,5,"CB non-problematic"
"19",20,"férfi",41,7,3,"CB non-problematic"
"20",26,"férfi",40,3,2,"CB non-problematic"
"21",38,"férfi",36,1,3,"CB non-problematic"
"22",37,"férfi",35,0,3,"CB non-problematic"
"23",33,"férfi",46,11,4,"CB non-problematic"
"24",62,"férfi",33,9,4,"CB non-problematic"
"25",37,"férfi",29,0,4,"CB non-problematic"
"26",26,"férfi",34,0,1,"CB non-problematic"
"27",22,"férfi",53,3,5,"CB non-problematic"
"28",21,"férfi",45,0,4,"CB non-problematic"
"29",24,"férfi",23,5,1,"CB non-problematic"
"30",70,"férfi",32,1,3,"CB non-problematic"
"31",19,"férfi",30,0,2,"CB non-problematic"
"32",28,"férfi",27,1,0,"CB non-problematic"
"33",23,"férfi",43,2,2,"CB non-problematic"
"34",22,"férfi",46,1,5,"CB non-problematic"
"35",64,"férfi",34,4,4,"CB non-problematic"
"36",24,"férfi",32,12,3,"CB non-problematic"
"37",41,"férfi",54,0,7,"CB non-problematic"
"38",28,"férfi",37,3,3,"CB non-problematic"
"39",37,"férfi",32,17,3,"CB non-problematic"
"40",23,"férfi",26,7,2,"CB non-problematic"
"41",25,"férfi",31,2,2,"CB non-problematic"
"42",19,"férfi",31,0,1,"CB non-problematic"
"43",21,"férfi",33,14,3,"CB non-problematic"
"44",21,"férfi",NA,0,4,"CB non-problematic"
"45",41,"férfi",35,0,2,"CB non-problematic"
"46",22,"férfi",39,0,1,"CB non-problematic"
"47",26,"férfi",38,7,1,"CB non-problematic"
"48",26,"férfi",43,11,5,"CB non-problematic"
"49",46,"férfi",27,4,3,"CB non-problematic"
"50",48,"férfi",28,1,2,"CB non-problematic"
"51",24,"férfi",55,4,3,"CB non-problematic"
"52",27,"férfi",41,4,3,"CB non-problematic"
"53",21,"férfi",44,2,3,"CB non-problematic"
"54",48,"férfi",48,0,4,"CB non-problematic"
"55",57,"férfi",37,1,1,"CB non-problematic"
"56",34,"férfi",31,3,1,"CB non-problematic"
"57",36,"férfi",35,4,5,"CB non-problematic"
"58",33,"férfi",32,3,0,"CB non-problematic"
"59",28,"férfi",44,8,2,"CB non-problematic"
"60",46,"férfi",30,5,4,"CB non-problematic"
"61",35,"férfi",NA,0,3,"CB non-problematic"
"62",26,"férfi",43,5,6,"CB non-problematic"
"63",46,"férfi",46,2,3,"CB non-problematic"
"64",31,"férfi",35,1,3,"CB non-problematic"
"65",25,"férfi",49,4,5,"CB non-problematic"
